"Username","Follower_Count","Following_Count","Posts_Count","Average_Likes","Average_Comments","Follower_to_Following_Ratio"
"osamason",268735,58,4,989762,16352,4633.36206896552
"instagram",674372995,105,7731,NA,NA,6422599.95238095
